avaliacao_id,produto_id,cliente_id,nota,data_avaliacao,comentario
1,1,52,3.5,2024-04-24,
2,1,458,4.5,2024-09-07,"Muito bom, recomendo."
3,1,1117,3.0,2025-11-23,Dentro do esperado.
4,1,62,4.5,2024-02-02,Superou minhas expectativas.
5,1,1233,3.0,2025-06-01,Cumpre o prometido.
6,1,1437,4.0,2025-10-27,Superou minhas expectativas.
7,1,1207,3.0,2025-04-04,Produto ok.
8,1,1430,3.0,2024-06-12,Razoável.
9,1,441,5.0,2024-06-08,
10,1,210,3.5,2024-12-10,Produto ok.
11,1,705,3.0,2025-01-02,
12,1,1495,3.5,2024-02-14,Produto ok.
13,1,162,4.0,2025-01-22,Qualidade superior.
14,1,1183,3.5,2025-01-05,Produto ok.
15,1,1355,4.5,2024-02-16,Entrega rápida e produto perfeito.
16,1,477,4.0,2024-03-22,
17,1,570,2.5,2025-01-24,Razoável.
18,1,759,2.5,2024-06-15,Regular.
19,1,1438,1.5,2024-09-30,
20,1,147,4.0,2025-10-25,
21,1,1094,5.0,2024-06-24,
22,1,947,5.0,2024-06-16,Melhor compra do ano.
23,1,1403,5.0,2024-08-12,Ótimo produto!
24,1,66,4.5,2024-08-22,
25,1,549,4.0,2025-02-14,Qualidade superior.
26,1,436,4.0,2024-11-18,
27,1,1317,4.0,2025-02-09,Entrega rápida e produto perfeito.
28,1,506,4.5,2024-05-22,
29,2,1198,3.5,2024-09-26,Nem bom nem ruim.
30,2,742,4.0,2025-02-12,Excelente qualidade.
31,2,1011,5.0,2025-06-05,Ótimo produto!
32,2,314,4.5,2024-04-22,
33,2,865,4.5,2025-11-27,Adorei!
34,2,1221,3.5,2025-01-25,
35,2,515,3.0,2025-06-25,
36,2,1394,2.0,2024-01-12,
37,2,1100,4.5,2025-11-29,
38,2,697,4.0,2025-10-18,Adorei!
39,2,930,2.5,2024-06-10,Regular.
40,2,1026,2.0,2024-09-26,
41,2,218,4.5,2025-06-03,
42,2,1309,3.5,2024-11-01,Cumpre o prometido.
43,2,766,3.5,2024-06-05,
44,2,1087,4.5,2025-07-06,
45,2,664,3.5,2025-09-05,Produto ok.
46,2,630,3.5,2025-01-06,Cumpre o prometido.
47,2,162,3.0,2025-08-03,Dentro do esperado.
48,2,1091,5.0,2024-03-11,
49,3,974,5.0,2025-11-06,
50,3,543,4.0,2024-06-18,Qualidade superior.
51,3,434,3.0,2025-03-09,
52,3,412,4.5,2025-12-07,
53,3,1376,1.5,2025-02-12,
54,3,1060,2.5,2025-03-24,Cumpre o prometido.
55,3,132,4.5,2024-08-18,Qualidade superior.
56,4,1206,3.0,2024-08-23,Produto ok.
57,4,1293,4.0,2025-12-25,"Muito bom, recomendo."
58,4,677,3.0,2024-02-02,Cumpre o prometido.
59,4,1371,5.0,2024-10-12,Melhor compra do ano.
60,4,1482,2.5,2024-05-15,
61,4,1181,4.5,2025-08-07,Funciona perfeitamente.
